name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;617;0;709;3049;1770;3049;1724;0
header;195;152;195;189;1831;189;1831;152
A;1003;215;1003;243;1024;243;1024;215
C;899;358;899;376;913;376;913;358
B;645;637;645;656;657;656;657;637
B;979;637;979;652;987;652;987;637
A;1536;682;1536;689;1542;689;1542;682
A;1200;684;1200;700;1208;700;1208;684
A;1282;775;1282;791;1290;791;1290;775
A;1020;780;1020;780;1020;780;1020;780
A;707;819;707;835;715;835;715;819
A;1469;819;1469;826;1475;826;1475;819
B;745;865;745;881;754;881;754;865
B;1396;867;1396;884;1406;884;1406;867
B;1004;887;1004;914;1025;914;1025;887
B;1105;1095;1105;1111;1114;1111;1114;1095
A;921;1151;921;1163;928;1163;928;1151
C;1002;1555;1002;1583;1022;1583;1022;1555
B;811;1642;811;1658;819;1658;819;1642
B;1118;1828;1118;1844;1127;1844;1127;1828
D;1735;1874;1735;1890;1743;1890;1743;1874
D;1005;2224;1005;2249;1024;2249;1024;2224
A;728;2697;728;2714;736;2714;736;2697
A;1376;2738;1376;2738;1377;2738;1377;2738
B;1709;2835;1709;2850;1731;2850;1731;2835
B;847;2838;847;2853;868;2853;868;2838
B;1478;2874;1478;2889;1498;2889;1498;2874
A;1252;2875;1252;2899;1258;2899;1258;2875
B;1214;2876;1214;2891;1232;2891;1232;2876
B;1096;2882;1096;2901;1112;2901;1112;2882
