name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;997;0;951;3057;1811;3057;1834;0
header;204;211;204;245;1833;245;1833;211
A;1010;273;1010;299;1031;299;1031;273
A;1211;552;1211;567;1219;567;1219;552
A;1173;686;1173;691;1178;691;1178;686
B;1544;735;1544;751;1552;751;1552;735
A;1824;863;1824;871;1831;871;1831;863
A;1500;869;1500;874;1505;874;1505;869
B;1764;874;1764;889;1773;889;1773;874
B;1001;954;1001;981;1021;981;1021;954
A;1349;1329;1349;1335;1354;1335;1354;1329
D;1117;1376;1117;1391;1125;1391;1125;1376
A;1820;1380;1820;1385;1825;1385;1825;1380
B;1725;1517;1725;1531;1734;1531;1734;1517
C;992;1633;992;1664;1015;1664;1015;1633
A;1499;2257;1499;2267;1505;2267;1505;2257
D;988;2307;988;2335;1010;2335;1010;2307
A;1805;2712;1805;2723;1812;2723;1812;2712
